Item Category,Item Name,Item Quality,StatTrak?,Souvenir?,Item Exterior,Lowest Listing Price ($),Steam Market Link
Nomad Knife,Scorched,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Scorched%20%28Well-Worn%29
Nomad Knife,Scorched,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Scorched%20%28Battle-Scarred%29
Nomad Knife,Scorched,Covert Knife,False,False,Factory New,$216.33,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Scorched%20%28Factory%20New%29
Nomad Knife,Scorched,Covert Knife,False,False,Minimal Wear,$123.86,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Scorched%20%28Minimal%20Wear%29
Nomad Knife,Scorched,Covert Knife,False,False,Field-Tested,$114.35,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Scorched%20%28Field-Tested%29
Nomad Knife,Scorched,Covert Knife,False,False,Well-Worn,$121.30,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Scorched%20%28Well-Worn%29
Nomad Knife,Scorched,Covert Knife,False,False,Battle-Scarred,$115.00,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Scorched%20%28Battle-Scarred%29
Nomad Knife,Urban Masked,Covert Knife,True,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Factory%20New%29
Nomad Knife,Urban Masked,Covert Knife,True,False,Minimal Wear,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Minimal%20Wear%29
Nomad Knife,Urban Masked,Covert Knife,True,False,Field-Tested,$209.81,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Field-Tested%29
Nomad Knife,Urban Masked,Covert Knife,True,False,Well-Worn,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Well-Worn%29
Nomad Knife,Urban Masked,Covert Knife,True,False,Battle-Scarred,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20StatTrak%E2%84%A2%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Battle-Scarred%29
Nomad Knife,Urban Masked,Covert Knife,False,False,Factory New,No Recent Price,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Urban%20Masked%20%28Factory%20New%29
